village_id_rand,treatment,total_bl_villavg,hindi_bl_villavg,math_bl_villavg,english_bl_villavg,total_ely1_villavg,hindi_ely1_villavg,math_ely1_villavg,english_ely1_villavg,total_ely2_villavg,hindi_ely2_villavg,math_ely2_villavg,english_ely2_villavg,total_ely3_villavg,hindi_ely3_villavg,math_ely3_villavg,english_ely3_villavg,child_female_villfrac,child_scst_villfrac,number_students
212,1,4.8823528,1.8235294,1.7058823,1.3529412,6.4000001,2.5,2.2,1.7,5.875,2.375,2,1.5,9.7142859,4,2.5714285,3.1428571,.47058824,0,17
213,0,6.0869565,2.3043478,2.0869565,1.6956521,9.083333,4.25,2.9166667,1.9166666,9.333333,4,3,2.3333333,8.6000004,4,2.8,1.8,.39130434,1,23
214,1,8.75,3.4000001,3,2.3499999,12.272727,4.909091,4,3.3636363,,,,,,,,,.5,.89999998,20
215,0,6.1999998,2.4000001,2.28,1.52,8.0666666,3.2,2.8,2.0666666,7.75,3.1875,2.8125,1.75,8.5384617,3.9230769,2.7692308,1.8461539,.44,.039999999,25
216,0,4.7894735,1.6842105,1.8947369,1.2105263,7.2857141,2.8571429,2.5714285,1.8571428,7,2.4000001,2.9000001,1.7,6.6923075,2.2307692,2.7692308,1.6923077,.52631581,.52631581,19
217,0,5.3076925,1.8307692,2.0307693,1.4461539,7.2285714,2.8285713,2.4285715,1.9714285,7.2972975,2.6486487,2.7567568,1.8918918,8,3,2.7894738,2.2105262,.43076923,.66153848,65
218,1,7.3137255,2.6078432,2.4705882,2.2352941,9.9354839,4,3.0967741,2.8387096,9.7096777,3.6129031,3.2258065,2.8709676,11.62963,4.2962961,3.5925925,3.7407408,.39215687,.15686275,51
219,0,5.6666665,1.962963,2.1111112,1.5925926,7.5555553,3,2.5,2.0555556,7.1428571,2.1428571,2.5714285,2.4285715,9.272727,3.5454545,3.090909,2.6363637,.48148149,.7037037,27
220,1,5.4137931,2.0344827,2,1.3793104,8.7857141,3.7857144,2.7142856,2.2857144,9,3.3888888,3.2777777,2.3333333,11.6,4.1999998,4,3.4000001,.51724136,.51724136,29
221,1,6.3888888,2.6666667,2,1.7222222,8.727273,3.5454545,2.7272727,2.4545455,10.5,4.0833335,3.5833333,2.8333333,13.2,5.0999999,4.0999999,4,.27777779,.66666669,18
